,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach,flight_id,departuretime_human,arrivaltime_human,depart_date,arrive_date,depart_timestamp,arrive_timestamp,depart_time_hour_stamp,arrive_time_hour_stamp
110,SWA50,,1487629800,1487634600,KMAF,KHOU,B733,,0,0,137,SWA50-1487399280-airline-0086,2017-02-20 22:30:00,2017-02-20 23:50:00,2017-02-20,2017-02-20,22:30:00,23:50:00,22,23
111,SWA1803,,1487625900,1487637300,KLAX,KHOU,B737,,0,0,143,SWA1803-1487399281-airline-0893,2017-02-20 21:25:00,2017-02-21 00:35:00,2017-02-20,2017-02-21,21:25:00,00:35:00,21,0
112,SWA3929,,1487613000,1487624400,KLAX,KHOU,B737,,0,0,143,SWA3929-1487399281-airline-0527,2017-02-20 17:50:00,2017-02-20 21:00:00,2017-02-20,2017-02-20,17:50:00,21:00:00,17,21
113,SWA908,,1487607600,1487618700,KLAX,KHOU,B737,,0,0,143,SWA908-1487399283-airline-0247,2017-02-20 16:20:00,2017-02-20 19:25:00,2017-02-20,2017-02-20,16:20:00,19:25:00,16,19
114,SWA856,,1487594100,1487599200,KMAF,KHOU,B737,,0,0,143,SWA856-1487399283-airline-0359,2017-02-20 12:35:00,2017-02-20 14:00:00,2017-02-20,2017-02-20,12:35:00,14:00:00,12,14
115,SWA817,,1487625000,1487637900,MRLB,KHOU,B737,,0,0,143,SWA817-1487399283-airline-0054,2017-02-20 21:10:00,2017-02-21 00:45:00,2017-02-20,2017-02-21,21:10:00,00:45:00,21,0
116,SWA4083,,1487628000,1487643600,KLGA,KHOU,B738,,0,0,175,SWA4083-1487399282-airline-0163,2017-02-20 22:00:00,2017-02-21 02:20:00,2017-02-20,2017-02-21,22:00:00,02:20:00,22,2
117,SWA1570,,1487590200,1487605500,KLGA,KHOU,B737,,0,0,143,SWA1570-1487399281-airline-0806,2017-02-20 11:30:00,2017-02-20 15:45:00,2017-02-20,2017-02-20,11:30:00,15:45:00,11,15
118,SWA1881,,1487600400,1487606100,KTUL,KHOU,B737,,0,0,143,SWA1881-1487399281-airline-0485,2017-02-20 14:20:00,2017-02-20 15:55:00,2017-02-20,2017-02-20,14:20:00,15:55:00,14,15
119,SWA1768,,1487607900,1487618700,KSAN,KHOU,B737,,0,0,143,SWA1768-1487399281-airline-0731,2017-02-20 16:25:00,2017-02-20 19:25:00,2017-02-20,2017-02-20,16:25:00,19:25:00,16,19
120,SWA1870,,1487622600,1487635800,KBWI,KHOU,B738,,0,0,175,SWA1870-1487399281-airline-0626,2017-02-20 20:30:00,2017-02-21 00:10:00,2017-02-20,2017-02-21,20:30:00,00:10:00,20,0
121,SWA452,,1487592900,1487606100,KBWI,KHOU,B733,,0,0,143,SWA452-1487399282-airline-0132,2017-02-20 12:15:00,2017-02-20 15:55:00,2017-02-20,2017-02-20,12:15:00,15:55:00,12,15
122,SWA393,,1487626800,1487637300,KSAN,KHOU,B737,,0,0,143,SWA393-1487399281-airline-0867,2017-02-20 21:40:00,2017-02-21 00:35:00,2017-02-20,2017-02-21,21:40:00,00:35:00,21,0
123,SWA1013,,1487633400,1487642400,MZBZ,KHOU,B737,,0,0,143,SWA1013-1487399280-airline-0215,2017-02-20 23:30:00,2017-02-21 02:00:00,2017-02-20,2017-02-21,23:30:00,02:00:00,23,2
124,SWA873,,1487587800,1487599200,KRDU,KHOU,B737,,0,0,143,SWA873-1487399283-airline-0279,2017-02-20 10:50:00,2017-02-20 14:00:00,2017-02-20,2017-02-20,10:50:00,14:00:00,10,14
125,SWA336,,1487604900,1487615400,KCHS,KHOU,B737,,0,0,143,SWA336-1487399281-airline-0373,2017-02-20 15:35:00,2017-02-20 18:30:00,2017-02-20,2017-02-20,15:35:00,18:30:00,15,18
126,SWA504,,1487587800,1487598300,KCLT,KHOU,B737,,0,0,143,SWA504-1487399282-airline-0293,2017-02-20 10:50:00,2017-02-20 13:45:00,2017-02-20,2017-02-20,10:50:00,13:45:00,10,13
127,SWA109,,1487622900,1487630700,MMPR,KHOU,B737,,0,0,143,SWA109-1487399281-airline-1033,2017-02-20 20:35:00,2017-02-20 22:45:00,2017-02-20,2017-02-20,20:35:00,22:45:00,20,22
128,SWA311,,1487606400,1487612400,KPNS,KHOU,B737,,0,0,143,SWA311-1487399281-airline-0549,2017-02-20 16:00:00,2017-02-20 17:40:00,2017-02-20,2017-02-20,16:00:00,17:40:00,16,17
129,SWA2864,,1487595300,1487598300,KCRP,KHOU,B737,,0,0,143,SWA2864-1487399281-airline-0840,2017-02-20 12:55:00,2017-02-20 13:45:00,2017-02-20,2017-02-20,12:55:00,13:45:00,12,13
130,SWA505,,1487607000,1487610000,KCRP,KHOU,B737,,0,0,143,SWA505-1487399282-airline-0480,2017-02-20 16:10:00,2017-02-20 17:00:00,2017-02-20,2017-02-20,16:10:00,17:00:00,16,17
131,SWA528,,1487615700,1487619000,KCRP,KHOU,B733,,0,0,137,SWA528-1487399282-airline-0862,2017-02-20 18:35:00,2017-02-20 19:30:00,2017-02-20,2017-02-20,18:35:00,19:30:00,18,19
132,SWA56,,1487633700,1487637000,KCRP,KHOU,B733,,0,0,137,SWA56-1487399280-airline-0352,2017-02-20 23:35:00,2017-02-21 00:30:00,2017-02-20,2017-02-21,23:35:00,00:30:00,23,0
133,SWA1766,,1487630700,1487637600,KABQ,KHOU,B737,,0,0,143,SWA1766-1487399281-airline-0110,2017-02-20 22:45:00,2017-02-21 00:40:00,2017-02-20,2017-02-21,22:45:00,00:40:00,22,0
134,SWA718,,1487598600,1487605800,KABQ,KHOU,B733,,0,0,143,SWA718-1487399283-airline-0195,2017-02-20 13:50:00,2017-02-20 15:50:00,2017-02-20,2017-02-20,13:50:00,15:50:00,13,15
